artistId,geniusId,geniusSearchName
11774,20Syl,20syl
11686,Admiral T,Admiral T
16833,Aketo,Aketo
1961,Akhenaton,Sentenza
12302,L’Algérino,L’Algérino
1806,Ali (FRA),Ali (FRA)
15427,Alkpote,Alkpote
13864,Abd Al Malik,Abd al Malik
13711,Alonzo,Alonzo
23907,Alpha 5.20,Alpha 5.20
14857,Ateyaba,Ateyaba
65029,Atim,Atim
13211,Pit Baccardi,Pit Baccardi
1541955,Bakar,Bakar
23667,Gérard Baste,Gérard Baste
1040577,Ben-J (FRA),Ben-J (FRA)
342577,Benash,Benash
5186,Big Red,Deenastyle
2169,Black Kent,Black Kent
15788,Black M,Black Mesrimes
16851,Blacko (FRA),Blacko (FRA)
575371,Boef,Boef
1282,Booba,Booba
660000,Boostee,Boostee
314635,Bosh,Bosh
72887,Bouga,Bouga
1824796,Bassem Braiki,Bassem Braiki
12000,BraSco,Brasco
1882,Brav,Prolétariat
343414,Lucio Bukowski & Anton Serra,Lucio Bukowski
14071,Deen Burbigo,Deen Burbigo
14348,Busta Flex,Busta Flex
23731,Calbo,Le métier rentre
11648,Canardo,Canardo
1588973,Nick Conrad,Nick Conrad
28788,Bambi Cruz,Bambi Cruz
41623,Cuizinier,Cuizinier
81671,Cyanure (ATK),Cyanure
644579,D’ de Kabal,D’ de Kabal
1133614,Lionel D,Lionel D
1212452,​DA Uzi,Da Uzi
1987,Daddy Lord C,Daddy Lord C
12548,Dadoo,Dadoo
1691368,DAKEEZ,Dakeez
150428,Ol’ Kainry & Dany Dan,Dany Dan
58368,Dawala,Dawala
43765,Hamed Däye,Hamed Däye
218802,Abou Debeing,Abou Debeing
15399,Dee Nasty,Dee Nasty
29847,Def Bond,Def Bond
23664,James Delleck,James Delleck
14366,Demi Portion,Demi Portion
16336,Demon One,Demon One
618575,Diamond Deuklo,Diamond Deuklo
333445,Souleymane Diamanka,Souleymane Diamanka
14806,Dinos,Dinos
2252,Disiz La Peste,Disiz La Peste
483385,Jessy Dixon,Dixon
188245,Djamatik,Djamatik
2298,Doc Gynéco,Doc Gynéco
1963,Don Choa,Don Choa
114175,JR O Crom & Doomams,Doomams
2223,Dosseh,Dosseh
26663,Doudou Masta,Doudou Masta
2222,Driver,Le Maire de la ville
1050912,EJM (Rappeur),EJM (Rappeur)
12408,Eklips,Eklips
20257,Ekoué,Ekoué
14336,Fababy,Fababy
1937,Fabe,Comme un rat dans l’coin
12066,Faf Larage,Faf Larage
22451,Gaël Faye,Gaël Faye
16249,Fisto,Fisto
2155,Flynt,Flynt
1303,La Fouine,La Fouine
246691,Franglish,Franglish
14934,Freeman (FRA),Freeman (FRA)
