corpus,preloaded/frtenten17_fl2,
subcorpus,-,
Item,Frequency,Relative frequency
autre,8212142,1199.61805
grand,7598298,1109.94859
nouveau,7098375,1036.92055
premier,6758846,987.32263
même,5488394,801.73681
petit,5287879,772.44586
bon,5234041,764.58128
français,3495609,510.6336
dernier,3452973,504.4054
seul,3190105,466.00601
national,3108817,454.13158
différent,2920233,426.58349
social,2693493,393.46164
jeune,2687005,392.51388
nombreux,2615191,382.02339
beau,2437771,356.10613
public,2325059,339.64132
tel,2219800,324.26523
important,2182468,318.81183
long,2014097,294.21643
ancien,1942291,283.72711
2,1941970,283.68022
possible,1930723,282.03728
meilleur,1926712,281.45135
général,1925743,281.3098
politique,1899424,277.46516
particulier,1712042,250.09267
haut,1661650,242.73147
simple,1605185,234.48315
européen,1600542,233.8049
international,1527432,223.1251
commun,1520404,222.09846
principal,1492624,218.0404
propre,1467577,214.38157
blanc,1383129,202.04552
plein,1364601,199.33898
nécessaire,1361329,198.86101
vrai,1330655,194.38019
professionnel,1316555,192.32049
économique,1315685,192.1934
présent,1284743,187.67343
l,1269803,185.49102
suivant,1253115,183.05326
humain,1229927,179.66599
local,1208695,176.56445
mondial,1199217,175.17992
fort,1197233,174.8901
gros,1154612,168.66408
certain,1115622,162.96848
noir,1115248,162.91385
disponible,1097644,160.34228
naturel,1086379,158.6967
actuel,1014563,148.20592
libre,997861,145.76612
américain,983057,143.60357
technique,982106,143.46465
divers,976349,142.62368
supérieur,966809,141.23009
difficile,927245,135.45063
saint,889441,129.92828
sûr,888758,129.82851
financier,886773,129.53854
prochain,884188,129.16093
complet,873488,127.59789
rouge,856681,125.14274
historique,853958,124.74497
personnel,850021,124.16986
unique,841598,122.93944
of,818214,119.52354
véritable,812637,118.70886
gratuit,809241,118.21278
in,787866,115.09035
culturel,784160,114.54898
cher,782485,114.3043
collectif,773938,113.05576
court,756650,110.53036
facile,756635,110.52817
correspondant,754019,110.14603
vide,745771,108.94117
numérique,742792,108.506
juste,737246,107.69585
vieux,735384,107.42385
mauvais,726614,106.14274
large,725482,105.97738
rapide,724196,105.78952
réel,716418,104.65332
double,716174,104.61768
original,714914,104.43362
régional,712599,104.09545
vert,705125,103.00366
direct,704136,102.85919
scientifique,701567,102.48391
militaire,700926,102.39028
clair,694878,101.50679
bas,685717,100.16857
commercial,683711,99.87553
officiel,680721,99.43876
moyen,669365,97.77989
relatif,656755,95.93784
faible,641139,93.65668
entier,635221,92.79218
central,633831,92.58913
civil,632090,92.33481
physique,617274,90.17051
allemand,613055,89.5542
incomplet,612565,89.48263
intéressant,608164,88.83973
spécifique,607518,88.74537
prêt,599546,87.58083
moderne,597259,87.24675
électrique,585175,85.48153
efficace,582983,85.16133
spécial,571078,83.42226
droit,567889,82.95642
populaire,565187,82.56171
étranger,562377,82.15123
traditionnel,560453,81.87018
3,559426,81.72016
utile,559354,81.70964
chaud,555072,81.08413
fin,547877,80.03309
excellent,545619,79.70325
parfait,545285,79.65446
pratique,545241,79.64803
riche,542199,79.20366
précis,539225,78.76922
médical,538433,78.65353
précédent,537682,78.54382
industriel,529594,77.36234
futur,526660,76.93375
essentiel,518743,75.77724
scolaire,516595,75.46346
neuf,512360,74.84482
rare,504467,73.69182
joli,504357,73.67575
administratif,501660,73.28178
capable,500970,73.18099
proche,498121,72.76481
and,494427,72.22519
extérieur,494055,72.17085
royal,493929,72.15245
universitaire,493495,72.08905
récent,492306,71.91536
classique,491149,71.74635
léger,491047,71.73145
indépendant,485237,70.88273
urbain,484703,70.80473
célèbre,479803,70.08894
actif,477963,69.82016
agricole,476193,69.5616
durable,471822,68.92309
supplémentaire,471443,68.86772
doux,469347,68.56154
dur,468907,68.49727
bleu,468789,68.48003
global,463470,67.70304
municipal,460260,67.23413
majeur,458605,66.99237
responsable,458563,66.98623
contemporain,457575,66.84191
annuel,456086,66.6244
normal,455375,66.52053
directeur,448621,65.53392
puissant,448264,65.48177
juridique,448149,65.46497
familial,447645,65.39135
religieux,446432,65.21415
sportif,444790,64.97429
musical,442993,64.71179
légal,440156,64.29736
grave,431931,63.09587
profond,431388,63.01655
intérieur,424811,62.05579
accessible,424685,62.03738
lourd,419240,61.24198
alimentaire,419091,61.22022
individuel,417159,60.93799
faux,412096,60.1984
impossible,411416,60.09907
indispensable,410329,59.94028
vivant,409900,59.87761
magnifique,408813,59.71882
immobilier,407892,59.58428
fiscal,400602,58.51937
frais,396357,57.89927
sexuel,394052,57.56256
anglais,391596,57.20379
final,389771,56.93719
heureux,388062,56.68755
britannique,374136,54.65326
italien,373461,54.55465
territorial,372995,54.48658
âgé,371847,54.31888
artistique,369574,53.98685
pédagogique,369351,53.95427
départemental,367561,53.69279
féminin,367408,53.67044
agréable,365499,53.39158
pur,363638,53.11972
interne,361157,52.7573
fondamental,359786,52.55703
exceptionnel,357088,52.16291
moindre,356996,52.14947
virtuel,356569,52.08709
positif,356216,52.03553
électronique,354143,51.73271
complexe,353947,51.70408
inférieur,344251,50.2877
matériel,341289,49.85501
moral,336287,49.12433
multiple,336260,49.12038
informatique,335121,48.954
obligatoire,334120,48.80778
the,330235,48.24026
quotidien,327556,47.84892
mobile,326180,47.64791
total,325908,47.60818
vif,321807,47.00911
secret,319206,46.62916
pauvre,315445,46.07976
