"corpus","preloaded/frtenten17_fl2"
"subcorpus","-"
Item,Frequency,Relative frequency
"article",8144420,1189.72532
"deux",7788074,1137.67080
"projet",7002220,1022.87436
"liste",6826273,997.17227
"an",6092576,889.99486
"année",5618891,820.79962
"travail",5606157,818.93946
"france",5220068,762.54013
"page",5097786,744.67735
"jour",4949443,723.00761
"temps",4849064,708.34439
"l",4780209,698.28615
"site",4372407,638.71501
"tâche",4232296,618.24779
"monde",4177853,610.29484
"fois",3956710,577.99058
"vie",3874295,565.95152
"exemple",3834015,560.06747
"personne",3672832,536.52209
"partie",3639817,531.69930
"conseil",3572262,521.83096
"service",3546845,518.11808
"homme",3460493,505.50391
"cas",3441551,502.73689
"aide",3433172,501.51289
"place",3433041,501.49376
"forme",3393089,495.65763
"pays",3244897,474.00995
"enfant",3156899,461.15533
"point",3152058,460.44816
"ville",3098446,452.61659
"groupe",3071637,448.70037
"cour",3024329,441.78969
"effet",2995473,437.57445
"paris",2943197,429.93804
"histoire",2892990,422.60387
"nom",2875557,420.05729
"question",2852741,416.72436
"trois",2842593,415.24195
"ligne",2805278,409.79103
"lieu",2778147,405.82777
"entreprise",2747892,401.40816
"droit",2712928,396.30067
"femme",2707721,395.54004
"jeu",2694509,393.61005
"objectif",2596032,379.22467
"société",2572360,375.76670
"moi",2536236,370.48976
"recherche",2532699,369.97308
"eau",2531740,369.83299
"système",2525139,368.86872
"suite",2524653,368.79773
"information",2495968,364.60746
"prix",2492736,364.13534
"fin",2472658,361.20237
"chose",2469831,360.78941
"niveau",2420867,353.63682
"état",2400118,350.60583
"but",2364090,345.34291
"part",2289889,334.50374
"activité",2252475,329.03835
"produit",2239029,327.07418
"nombre",2230573,325.83894
"rapport",2162073,315.83256
"maison",2158497,315.31018
"famille",2144060,313.20124
"moment",2103210,307.23393
"titre",2101121,306.92877
"loi",2099242,306.65429
"compte",2095076,306.04573
"équipe",2054710,300.14912
"centre",2049937,299.45189
"formation",2043474,298.50778
"étude",2032315,296.87769
"contenu",2031306,296.73030
"heure",2028222,296.27979
"problème",2026373,296.00969
"film",2023238,295.55174
"qualité",2016424,294.55636
"siècle",2014048,294.20927
"fait",1967591,287.42290
"action",1963647,286.84677
"besoin",1930963,282.07233
"développement",1898242,277.29250
"livre",1890109,276.10444
"région",1884130,275.23104
"membre",1862674,272.09677
"connaissance",1833715,267.86649
"base",1813779,264.95426
"guerre",1803358,263.43198
"janvier",1800984,263.08519
"cadre",1795149,262.23282
"mesure",1792049,261.77997
"grâce",1772785,258.96592
"sujet",1756065,256.52348
"auteur",1754979,256.36484
"côté",1754563,256.30407
"fonction",1747870,255.32637
"président",1739265,254.06936
"type",1738045,253.89115
"ensemble",1732020,253.01102
"image",1728940,252.56110
"juin",1717462,250.88441
"association",1712576,250.17067
"raison",1712471,250.15533
"début",1707675,249.45474
"wikipédia",1704093,248.93149
"mars",1701687,248.58002
"réseau",1694734,247.56434
"mise",1694098,247.47143
"programme",1679762,245.37725
"école",1674957,244.67534
"décembre",1667715,243.61744
"plan",1661657,242.73250
"terme",1658526,242.27512
"mai",1658433,242.26154
"texte",1650248,241.06589
"septembre",1648250,240.77402
"octobre",1610455,235.25298
"photo",1604981,234.45335
"lien",1603637,234.25702
"source",1601243,233.90731
"euro",1600983,233.86932
"idée",1595682,233.09496
"parce",1593883,232.83217
"mot",1589513,232.19380
"tour",1586911,231.81371
"novembre",1582437,231.16015
"face",1581258,230.98792
"condition",1573603,229.86969
"terre",1566691,228.86000
"semaine",1554193,227.03431
"objet",1553569,226.94315
"marché",1553016,226.86237
"situation",1546030,225.84187
"population",1544851,225.66964
"m.",1537166,224.54703
"juillet",1534180,224.11084
"merci",1520303,222.08370
"façon",1514551,221.24346
"coordination",1510603,220.66674
"résultat",1503784,219.67063
"d",1503296,219.59935
"espace",1500172,219.14300
"version",1492353,218.00081
"carte",1482028,216.49255
"main",1480113,216.21281
"manière",1462505,213.64066
"avril",1462076,213.57799
"santé",1456880,212.81896
"coup",1442778,210.75896
"sens",1439116,210.22402
"domaine",1430851,209.01668
"code",1429783,208.86067
"vue",1428012,208.60197
"contributeur",1425608,208.25079
"œuvre",1424754,208.12604
"mort",1424633,208.10837
"dieu",1420955,207.57109
"valeur",1420568,207.51456
"gouvernement",1413295,206.45213
"corps",1402609,204.89113
"création",1390211,203.08005
"série",1384960,202.31299
"choix",1384435,202.23630
"sécurité",1381505,201.80829
"moyen",1378534,201.37429
"puce",1373335,200.61483
"force",1365965,199.53823
"million",1357200,198.25785
"fille",1355832,198.05801
"université",1350568,197.28906
"modèle",1343676,196.28228
"fond",1342673,196.13577
"europe",1342236,196.07193
"cœur",1334518,194.94450
"vidéo",1331882,194.55943
"application",1329298,194.18197
"pierre",1328999,194.13829
