Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.277301669,-12.72104417
75% Corpus,2,0.01,0.31,0.27693717,-8.248225593
75% Corpus,2,0.01,0.61,0.276533548,-8.279186967
75% Corpus,2,0.01,0.91,0.276976333,-8.308468011
75% Corpus,2,0.01,symmetric,0.276533548,-8.266184816
75% Corpus,2,0.31,0.01,0.277301669,-11.67860907
75% Corpus,2,0.31,0.31,0.27693717,-8.246232921
75% Corpus,2,0.31,0.61,0.276533548,-8.274223296
75% Corpus,2,0.31,0.91,0.276976333,-8.306912608
75% Corpus,2,0.31,symmetric,0.276533548,-8.262838694
75% Corpus,2,0.61,0.01,0.276533548,-12.32940613
75% Corpus,2,0.61,0.31,0.27693717,-8.248398517
75% Corpus,2,0.61,0.61,0.276533548,-8.275544931
75% Corpus,2,0.61,0.91,0.276933274,-8.307976926
75% Corpus,2,0.61,symmetric,0.27693717,-8.264005798
75% Corpus,2,0.91,0.01,0.276533548,-12.66929241
75% Corpus,2,0.91,0.31,0.27693717,-8.248226531
75% Corpus,2,0.91,0.61,0.27693717,-8.277128552
75% Corpus,2,0.91,0.91,0.276933274,-8.309180655
75% Corpus,2,0.91,symmetric,0.276533548,-8.271134078
75% Corpus,2,symmetric,0.01,0.277301669,-11.65978915
75% Corpus,2,symmetric,0.31,0.27693717,-8.248702608
75% Corpus,2,symmetric,0.61,0.276533548,-8.274910726
75% Corpus,2,symmetric,0.91,0.276933274,-8.307722953
75% Corpus,2,symmetric,symmetric,0.27693717,-8.263691159
75% Corpus,2,asymmetric,0.01,0.277301669,-12.34906507
75% Corpus,2,asymmetric,0.31,0.27693717,-8.247332663
75% Corpus,2,asymmetric,0.61,0.276976333,-8.274914944
75% Corpus,2,asymmetric,0.91,0.275930383,-8.302203828
75% Corpus,2,asymmetric,symmetric,0.276533548,-8.263942712
75% Corpus,3,0.01,0.01,0.273429883,-12.03847728
75% Corpus,3,0.01,0.31,0.275123536,-8.245326747
75% Corpus,3,0.01,0.61,0.265824711,-8.278664136
75% Corpus,3,0.01,0.91,0.287177934,-8.309495087
75% Corpus,3,0.01,symmetric,0.275123536,-8.248578438
75% Corpus,3,0.31,0.01,0.273672883,-11.65959044
75% Corpus,3,0.31,0.31,0.272591645,-8.247647061
75% Corpus,3,0.31,0.61,0.265824711,-8.282235026
75% Corpus,3,0.31,0.91,0.287177934,-8.312966692
75% Corpus,3,0.31,symmetric,0.274016273,-8.250207025
75% Corpus,3,0.61,0.01,0.273672883,-11.65756925
75% Corpus,3,0.61,0.31,0.274215571,-8.251601543
75% Corpus,3,0.61,0.61,0.26085068,-8.305044717
75% Corpus,3,0.61,0.91,0.274224508,-8.318644998
75% Corpus,3,0.61,symmetric,0.272313197,-8.255210497
75% Corpus,3,0.91,0.01,0.27440295,-11.66407762
75% Corpus,3,0.91,0.31,0.273586533,-8.256523648
75% Corpus,3,0.91,0.61,0.269662415,-8.291239295
75% Corpus,3,0.91,0.91,0.264006034,-8.323982133
75% Corpus,3,0.91,symmetric,0.273586533,-8.259056467
75% Corpus,3,symmetric,0.01,0.273672883,-11.65367038
75% Corpus,3,symmetric,0.31,0.272591645,-8.248116506
75% Corpus,3,symmetric,0.61,0.264293452,-8.281288748
75% Corpus,3,symmetric,0.91,0.287177934,-8.313323025
75% Corpus,3,symmetric,symmetric,0.272322563,-8.249673986
75% Corpus,3,asymmetric,0.01,0.273672883,-11.65394232
75% Corpus,3,asymmetric,0.31,0.27160675,-8.244950181
75% Corpus,3,asymmetric,0.61,0.263739082,-8.277848528
75% Corpus,3,asymmetric,0.91,0.281545838,-8.3108333
75% Corpus,3,asymmetric,symmetric,0.273593135,-8.2470502
75% Corpus,4,0.01,0.01,0.269905089,-11.68880736
75% Corpus,4,0.01,0.31,0.270980281,-8.243125277
75% Corpus,4,0.01,0.61,0.261373354,-8.280789233
75% Corpus,4,0.01,0.91,0.311096764,-8.311732443
75% Corpus,4,0.01,symmetric,0.271359918,-8.241498575
75% Corpus,4,0.31,0.01,0.270809128,-11.66441033
75% Corpus,4,0.31,0.31,0.26807302,-8.253691971
75% Corpus,4,0.31,0.61,0.257448631,-8.289694934
75% Corpus,4,0.31,0.91,0.300660638,-8.322904764
75% Corpus,4,0.31,symmetric,0.268272883,-8.242209185
75% Corpus,4,0.61,0.01,0.271151248,-11.68777936
75% Corpus,4,0.61,0.31,0.270957226,-8.259065462
75% Corpus,4,0.61,0.61,0.25558622,-8.297379949
75% Corpus,4,0.61,0.91,0.295013305,-8.329417206
75% Corpus,4,0.61,symmetric,0.272027946,-8.250098826
75% Corpus,4,0.91,0.01,0.271151248,-11.69267941
75% Corpus,4,0.91,0.31,0.270525304,-8.278350174
75% Corpus,4,0.91,0.61,0.256137875,-8.308722065
75% Corpus,4,0.91,0.91,0.277256742,-8.340917669
75% Corpus,4,0.91,symmetric,0.270912584,-8.256492978
75% Corpus,4,symmetric,0.01,0.270251036,-12.01875018
75% Corpus,4,symmetric,0.31,0.27028921,-8.24801965
75% Corpus,4,symmetric,0.61,0.258494679,-8.285753862
75% Corpus,4,symmetric,0.91,0.293507695,-8.318526518
75% Corpus,4,symmetric,symmetric,0.27028921,-8.240546141
75% Corpus,4,asymmetric,0.01,0.268562327,-11.67516207
75% Corpus,4,asymmetric,0.31,0.265750528,-8.240423394
75% Corpus,4,asymmetric,0.61,0.269122773,-8.279564634
75% Corpus,4,asymmetric,0.91,0.324359525,-8.309137238
75% Corpus,4,asymmetric,symmetric,0.270921284,-8.233329618
75% Corpus,5,0.01,0.01,0.270279651,-12.03614354
75% Corpus,5,0.01,0.31,0.264164365,-8.239347239
75% Corpus,5,0.01,0.61,0.279706799,-8.278187552
75% Corpus,5,0.01,0.91,0.355507259,-8.307729444
75% Corpus,5,0.01,symmetric,0.263748956,-8.221618706
75% Corpus,5,0.31,0.01,0.269433085,-11.66248459
75% Corpus,5,0.31,0.31,0.264156189,-8.247832265
75% Corpus,5,0.31,0.61,0.287044074,-8.291109207
75% Corpus,5,0.31,0.91,0.36181761,-8.320158109
75% Corpus,5,0.31,symmetric,0.267338587,-8.232341949
75% Corpus,5,0.61,0.01,0.268729531,-11.67921695
75% Corpus,5,0.61,0.31,0.264396405,-8.260636824
75% Corpus,5,0.61,0.61,0.269792179,-8.303461314
75% Corpus,5,0.61,0.91,0.348164779,-8.345711214
75% Corpus,5,0.61,symmetric,0.266711999,-8.257787758
75% Corpus,5,0.91,0.01,0.269521381,-12.05191374
75% Corpus,5,0.91,0.31,0.26952648,-8.270032826
75% Corpus,5,0.91,0.61,0.264365906,-8.315568698
75% Corpus,5,0.91,0.91,0.336622915,-8.350597133
75% Corpus,5,0.91,symmetric,0.269498551,-8.251460638
75% Corpus,5,symmetric,0.01,0.268531825,-12.00870633
75% Corpus,5,symmetric,0.31,0.26430639,-8.243965463
75% Corpus,5,symmetric,0.61,0.280271796,-8.28476133
75% Corpus,5,symmetric,0.91,0.356951359,-8.314106387
75% Corpus,5,symmetric,symmetric,0.263530172,-8.226663414
75% Corpus,5,asymmetric,0.01,0.269815704,-11.64712344
75% Corpus,5,asymmetric,0.31,0.263310318,-8.236924157
75% Corpus,5,asymmetric,0.61,0.299847905,-8.278092939
75% Corpus,5,asymmetric,0.91,0.359333954,-8.307476062
75% Corpus,5,asymmetric,symmetric,0.266691704,-8.222374488
75% Corpus,6,0.01,0.01,0.266567814,-12.07649495
75% Corpus,6,0.01,0.31,0.265603505,-8.234136429
75% Corpus,6,0.01,0.61,0.32905656,-8.278965694
75% Corpus,6,0.01,0.91,0.349525964,-8.306159901
75% Corpus,6,0.01,symmetric,0.265603409,-8.220430624
75% Corpus,6,0.31,0.01,0.267360554,-12.00266161
75% Corpus,6,0.31,0.31,0.261520276,-8.258506253
75% Corpus,6,0.31,0.61,0.32095124,-8.297039761
75% Corpus,6,0.31,0.91,0.357123381,-8.32392263
75% Corpus,6,0.31,symmetric,0.265016553,-8.227921975
75% Corpus,6,0.61,0.01,0.267538504,-12.03870337
75% Corpus,6,0.61,0.31,0.264311509,-8.261583944
75% Corpus,6,0.61,0.61,0.308573378,-8.315439305
75% Corpus,6,0.61,0.91,0.344471729,-8.341788572
75% Corpus,6,0.61,symmetric,0.263937888,-8.237033154
75% Corpus,6,0.91,0.01,0.271027617,-12.08656989
75% Corpus,6,0.91,0.31,0.263595189,-8.273930288
75% Corpus,6,0.91,0.61,0.281070183,-8.327085802
75% Corpus,6,0.91,0.91,0.335398523,-8.356249674
75% Corpus,6,0.91,symmetric,0.268013857,-8.253488368
75% Corpus,6,symmetric,0.01,0.265497151,-11.65551958
75% Corpus,6,symmetric,0.31,0.265348868,-8.236505073
75% Corpus,6,symmetric,0.61,0.304589354,-8.289428999
75% Corpus,6,symmetric,0.91,0.357723258,-8.315529603
75% Corpus,6,symmetric,symmetric,0.264856464,-8.232351912
75% Corpus,6,asymmetric,0.01,0.264817807,-12.35196251
75% Corpus,6,asymmetric,0.31,0.272516617,-8.244316245
75% Corpus,6,asymmetric,0.61,0.320455196,-8.290202007
75% Corpus,6,asymmetric,0.91,0.404078156,-8.303027647
75% Corpus,6,asymmetric,symmetric,0.266194754,-8.214087973
75% Corpus,7,0.01,0.01,0.26794933,-11.72040296
75% Corpus,7,0.01,0.31,0.267180072,-8.233827425
75% Corpus,7,0.01,0.61,0.33865856,-8.275619435
75% Corpus,7,0.01,0.91,0.375357884,-8.304830931
75% Corpus,7,0.01,symmetric,0.267649176,-8.241773846
75% Corpus,7,0.31,0.01,0.268304286,-11.67271483
75% Corpus,7,0.31,0.31,0.26362207,-8.251732772
75% Corpus,7,0.31,0.61,0.317151958,-8.30010674
75% Corpus,7,0.31,0.91,0.381504426,-8.326047314
75% Corpus,7,0.31,symmetric,0.266900892,-8.251825239
75% Corpus,7,0.61,0.01,0.268839504,-11.71828592
75% Corpus,7,0.61,0.31,0.266453823,-8.268457494
75% Corpus,7,0.61,0.61,0.325109295,-8.319620013
75% Corpus,7,0.61,0.91,0.388030333,-8.348540587
75% Corpus,7,0.61,symmetric,0.265457483,-8.265299838
75% Corpus,7,0.91,0.01,0.268656023,-11.77582927
75% Corpus,7,0.91,0.31,0.264521775,-8.28190647
75% Corpus,7,0.91,0.61,0.303351987,-8.33630285
75% Corpus,7,0.91,0.91,0.389595316,-8.377827757
75% Corpus,7,0.91,symmetric,0.268743167,-8.274255633
75% Corpus,7,symmetric,0.01,0.26691342,-11.65969595
75% Corpus,7,symmetric,0.31,0.267624877,-8.241991972
75% Corpus,7,symmetric,0.61,0.336562623,-8.285360326
75% Corpus,7,symmetric,0.91,0.378366608,-8.309137013
75% Corpus,7,symmetric,symmetric,0.263728749,-8.243418967
75% Corpus,7,asymmetric,0.01,0.266281852,-11.65706551
75% Corpus,7,asymmetric,0.31,0.261091452,-8.229566367
75% Corpus,7,asymmetric,0.61,0.361495081,-8.274458564
75% Corpus,7,asymmetric,0.91,0.38415296,-8.300998567
75% Corpus,7,asymmetric,symmetric,0.266580533,-8.237856578
75% Corpus,8,0.01,0.01,0.268372635,-11.68183068
75% Corpus,8,0.01,0.31,0.273509251,-8.230557204
75% Corpus,8,0.01,0.61,0.351873545,-8.274609144
75% Corpus,8,0.01,0.91,0.41802954,-8.297992456
75% Corpus,8,0.01,symmetric,0.263372685,-8.293097629
75% Corpus,8,0.31,0.01,0.265819547,-11.67283631
75% Corpus,8,0.31,0.31,0.267485127,-8.253215527
75% Corpus,8,0.31,0.61,0.351125777,-8.303724236
75% Corpus,8,0.31,0.91,0.393575911,-8.328905041
75% Corpus,8,0.31,symmetric,0.262037139,-8.309207406
75% Corpus,8,0.61,0.01,0.265846656,-11.74641853
75% Corpus,8,0.61,0.31,0.26117924,-8.281089135
75% Corpus,8,0.61,0.61,0.3541648,-8.326626788
75% Corpus,8,0.61,0.91,0.411533752,-8.353610481
75% Corpus,8,0.61,symmetric,0.267394515,-8.312624902
75% Corpus,8,0.91,0.01,0.267096246,-11.79313738
75% Corpus,8,0.91,0.31,0.257842428,-8.303829112
75% Corpus,8,0.91,0.61,0.332044182,-8.344273771
75% Corpus,8,0.91,0.91,0.422206918,-8.37723554
75% Corpus,8,0.91,symmetric,0.264482362,-8.324608635
75% Corpus,8,symmetric,0.01,0.266374755,-11.98442266
75% Corpus,8,symmetric,0.31,0.281259496,-8.241871551
75% Corpus,8,symmetric,0.61,0.355946765,-8.287744012
75% Corpus,8,symmetric,0.91,0.403281175,-8.311268963
75% Corpus,8,symmetric,symmetric,0.262965228,-8.293674201
75% Corpus,8,asymmetric,0.01,0.267725759,-11.64242686
75% Corpus,8,asymmetric,0.31,0.284095198,-8.240019464
75% Corpus,8,asymmetric,0.61,0.356287662,-8.28120569
75% Corpus,8,asymmetric,0.91,0.382550251,-8.302308342
75% Corpus,8,asymmetric,symmetric,0.265926834,-8.283935084
75% Corpus,9,0.01,0.01,0.266691284,-11.69284537
75% Corpus,9,0.01,0.31,0.273172847,-8.238242826
75% Corpus,9,0.01,0.61,0.397782899,-8.274021693
75% Corpus,9,0.01,0.91,0.45264693,-8.297492161
75% Corpus,9,0.01,symmetric,0.260373281,-8.366200243
75% Corpus,9,0.31,0.01,0.266089286,-11.68525918
75% Corpus,9,0.31,0.31,0.271468135,-8.261389442
75% Corpus,9,0.31,0.61,0.404184166,-8.325688773
75% Corpus,9,0.31,0.91,0.456722762,-8.335837484
75% Corpus,9,0.31,symmetric,0.260012727,-8.372653447
75% Corpus,9,0.61,0.01,0.263918872,-11.75848001
75% Corpus,9,0.61,0.31,0.256384642,-8.285739976
75% Corpus,9,0.61,0.61,0.394547237,-8.330769118
75% Corpus,9,0.61,0.91,0.464621872,-8.365149327
75% Corpus,9,0.61,symmetric,0.26506232,-8.39653541
75% Corpus,9,0.91,0.01,0.267271887,-11.82542182
75% Corpus,9,0.91,0.31,0.249378884,-8.308818
75% Corpus,9,0.91,0.61,0.349798698,-8.352871996
75% Corpus,9,0.91,0.91,0.437779047,-8.389169733
75% Corpus,9,0.91,symmetric,0.264547594,-8.398678927
75% Corpus,9,symmetric,0.01,0.263708148,-11.6495587
75% Corpus,9,symmetric,0.31,0.265368511,-8.253888542
75% Corpus,9,symmetric,0.61,0.394330528,-8.291356565
75% Corpus,9,symmetric,0.91,0.458158384,-8.311199497
75% Corpus,9,symmetric,symmetric,0.260231848,-8.365049444
75% Corpus,9,asymmetric,0.01,0.26567807,-11.66029052
75% Corpus,9,asymmetric,0.31,0.298139802,-8.245977219
75% Corpus,9,asymmetric,0.61,0.39320472,-8.279488976
75% Corpus,9,asymmetric,0.91,0.44848923,-8.301584554
75% Corpus,9,asymmetric,symmetric,0.258469761,-8.365945331
75% Corpus,10,0.01,0.01,0.265553119,-11.71921083
75% Corpus,10,0.01,0.31,0.283244945,-8.235246341
75% Corpus,10,0.01,0.61,0.353646832,-8.271580417
75% Corpus,10,0.01,0.91,0.420234357,-8.291493505
75% Corpus,10,0.01,symmetric,0.261682247,-8.462353072
75% Corpus,10,0.31,0.01,0.26594892,-12.02671526
75% Corpus,10,0.31,0.31,0.288562294,-8.265565446
75% Corpus,10,0.31,0.61,0.35366634,-8.311900317
75% Corpus,10,0.31,0.91,0.502559501,-8.333508852
75% Corpus,10,0.31,symmetric,0.256286577,-8.477303751
75% Corpus,10,0.61,0.01,0.264427386,-11.89636619
75% Corpus,10,0.61,0.31,0.287048737,-8.3159592
75% Corpus,10,0.61,0.61,0.366170493,-8.345498382
75% Corpus,10,0.61,0.91,0.489994993,-8.368107334
75% Corpus,10,0.61,symmetric,0.261918723,-8.467265542
75% Corpus,10,0.91,0.01,0.266580631,-12.18576158
75% Corpus,10,0.91,0.31,0.271588225,-8.319187657
75% Corpus,10,0.91,0.61,0.374116589,-8.378602807
75% Corpus,10,0.91,0.91,0.458888935,-8.396990883
75% Corpus,10,0.91,symmetric,0.264041987,-8.525657031
75% Corpus,10,symmetric,0.01,0.265959723,-11.99581835
75% Corpus,10,symmetric,0.31,0.284856848,-8.240612713
75% Corpus,10,symmetric,0.61,0.348706304,-8.283858051
75% Corpus,10,symmetric,0.91,0.446744894,-8.30847265
75% Corpus,10,symmetric,symmetric,0.26205196,-8.458389584
75% Corpus,10,asymmetric,0.01,0.267453726,-11.45434049
75% Corpus,10,asymmetric,0.31,0.277883461,-8.230637764
75% Corpus,10,asymmetric,0.61,0.35607748,-8.276479655
75% Corpus,10,asymmetric,0.91,0.451417512,-8.300632621
75% Corpus,10,asymmetric,symmetric,0.256314603,-8.441183949
75% Corpus,11,0.01,0.01,0.26991254,-11.49235038
75% Corpus,11,0.01,0.31,0.337167487,-8.240131719
75% Corpus,11,0.01,0.61,0.398308966,-8.278087731
75% Corpus,11,0.01,0.91,0.471101956,-8.310540554
75% Corpus,11,0.01,symmetric,0.260865196,-8.499559405
75% Corpus,11,0.31,0.01,0.265466558,-11.70767454
75% Corpus,11,0.31,0.31,0.320169258,-8.271932308
75% Corpus,11,0.31,0.61,0.423317499,-8.33072082
75% Corpus,11,0.31,0.91,0.445293809,-8.363347033
75% Corpus,11,0.31,symmetric,0.267780865,-8.556242921
75% Corpus,11,0.61,0.01,0.267145215,-11.85879019
75% Corpus,11,0.61,0.31,0.309179946,-8.311897202
75% Corpus,11,0.61,0.61,0.417778252,-8.353144496
75% Corpus,11,0.61,0.91,0.421643432,-8.387305348
75% Corpus,11,0.61,symmetric,0.258881538,-8.5428394
75% Corpus,11,0.91,0.01,0.268073199,-11.95739985
75% Corpus,11,0.91,0.31,0.292897998,-8.339306764
75% Corpus,11,0.91,0.61,0.384202227,-8.381264824
75% Corpus,11,0.91,0.91,0.425323254,-8.430345779
75% Corpus,11,0.91,symmetric,0.266984564,-8.565637565
75% Corpus,11,symmetric,0.01,0.261657493,-11.45246647
75% Corpus,11,symmetric,0.31,0.330058167,-8.249049213
75% Corpus,11,symmetric,0.61,0.388971595,-8.299839603
75% Corpus,11,symmetric,0.91,0.455390336,-8.326082854
75% Corpus,11,symmetric,symmetric,0.259320843,-8.51178464
75% Corpus,11,asymmetric,0.01,0.262788141,-11.66657709
75% Corpus,11,asymmetric,0.31,0.351377453,-8.240526258
75% Corpus,11,asymmetric,0.61,0.384134831,-8.282542117
75% Corpus,11,asymmetric,0.91,0.432153553,-8.300577997
75% Corpus,11,asymmetric,symmetric,0.265702977,-8.503007138
75% Corpus,12,0.01,0.01,0.264507067,-11.76833682
75% Corpus,12,0.01,0.31,0.354966435,-8.242978146
75% Corpus,12,0.01,0.61,0.40885684,-8.296541012
75% Corpus,12,0.01,0.91,0.42303561,-8.314363697
75% Corpus,12,0.01,symmetric,0.258100881,-8.534799302
75% Corpus,12,0.31,0.01,0.26530972,-11.76775999
75% Corpus,12,0.31,0.31,0.347879975,-8.271324696
75% Corpus,12,0.31,0.61,0.412115805,-8.32206598
75% Corpus,12,0.31,0.91,0.416392392,-8.360651711
75% Corpus,12,0.31,symmetric,0.262814048,-8.59398686
75% Corpus,12,0.61,0.01,0.267508231,-11.92627571
75% Corpus,12,0.61,0.31,0.339951377,-8.303384192
75% Corpus,12,0.61,0.61,0.412568796,-8.382458711
75% Corpus,12,0.61,0.91,0.445784827,-8.402745168
75% Corpus,12,0.61,symmetric,0.258568262,-8.604574715
75% Corpus,12,0.91,0.01,0.267582408,-11.99942931
75% Corpus,12,0.91,0.31,0.325983895,-8.33699547
75% Corpus,12,0.91,0.61,0.412589425,-8.402948198
75% Corpus,12,0.91,0.91,0.442210813,-8.445528039
75% Corpus,12,0.91,symmetric,0.262059133,-8.578610274
75% Corpus,12,symmetric,0.01,0.264798344,-11.43697872
75% Corpus,12,symmetric,0.31,0.364016337,-8.252594398
75% Corpus,12,symmetric,0.61,0.426343581,-8.293100731
75% Corpus,12,symmetric,0.91,0.443454546,-8.332425098
75% Corpus,12,symmetric,symmetric,0.266692693,-8.572093583
75% Corpus,12,asymmetric,0.01,0.266086731,-11.49175289
75% Corpus,12,asymmetric,0.31,0.350686525,-8.25120239
75% Corpus,12,asymmetric,0.61,0.384161777,-8.297510034
75% Corpus,12,asymmetric,0.91,0.460266699,-8.302407451
75% Corpus,12,asymmetric,symmetric,0.254412068,-8.569029283
75% Corpus,13,0.01,0.01,0.262935568,-11.54361091
75% Corpus,13,0.01,0.31,0.372507539,-8.243797302
75% Corpus,13,0.01,0.61,0.421310283,-8.280046345
75% Corpus,13,0.01,0.91,0.412625856,-8.312226279
75% Corpus,13,0.01,symmetric,0.275511754,-8.599967473
75% Corpus,13,0.31,0.01,0.264684119,-11.53424601
75% Corpus,13,0.31,0.31,0.350333551,-8.288089176
75% Corpus,13,0.31,0.61,0.42873396,-8.335551602
75% Corpus,13,0.31,0.91,0.404604654,-8.367987259
75% Corpus,13,0.31,symmetric,0.270762823,-8.673707703
75% Corpus,13,0.61,0.01,0.268858619,-11.89246616
75% Corpus,13,0.61,0.31,0.350558322,-8.315904854
75% Corpus,13,0.61,0.61,0.421606063,-8.378628213
75% Corpus,13,0.61,0.91,0.406137286,-8.405256226
75% Corpus,13,0.61,symmetric,0.257356951,-8.651784312
75% Corpus,13,0.91,0.01,0.266932167,-11.92686899
75% Corpus,13,0.91,0.31,0.320038396,-8.346790855
75% Corpus,13,0.91,0.61,0.411921154,-8.410259915
75% Corpus,13,0.91,0.91,0.387534803,-8.438686908
75% Corpus,13,0.91,symmetric,0.2656917,-8.66186068
75% Corpus,13,symmetric,0.01,0.266321966,-11.66096104
75% Corpus,13,symmetric,0.31,0.369318707,-8.253401455
75% Corpus,13,symmetric,0.61,0.430804709,-8.304761362
75% Corpus,13,symmetric,0.91,0.428200469,-8.327673838
75% Corpus,13,symmetric,symmetric,0.273649116,-8.58136039
75% Corpus,13,asymmetric,0.01,0.261118915,-12.01725933
75% Corpus,13,asymmetric,0.31,0.372172434,-8.245794441
75% Corpus,13,asymmetric,0.61,0.415754564,-8.283064829
75% Corpus,13,asymmetric,0.91,0.41918576,-8.306865931
75% Corpus,13,asymmetric,symmetric,0.275934166,-8.601343792
75% Corpus,14,0.01,0.01,0.265064187,-11.71057554
75% Corpus,14,0.01,0.31,0.356442507,-8.235627382
75% Corpus,14,0.01,0.61,0.428664457,-8.280572752
75% Corpus,14,0.01,0.91,0.455615953,-8.316439315
75% Corpus,14,0.01,symmetric,0.254127572,-8.641404449
75% Corpus,14,0.31,0.01,0.263839171,-11.35160231
75% Corpus,14,0.31,0.31,0.356942346,-8.294562707
75% Corpus,14,0.31,0.61,0.432748383,-8.334404677
75% Corpus,14,0.31,0.91,0.460646599,-8.369000271
75% Corpus,14,0.31,symmetric,0.254785605,-8.719569246
75% Corpus,14,0.61,0.01,0.262336369,-11.81848637
75% Corpus,14,0.61,0.31,0.358360661,-8.332067716
75% Corpus,14,0.61,0.61,0.437158193,-8.372768015
75% Corpus,14,0.61,0.91,0.43346678,-8.419359942
75% Corpus,14,0.61,symmetric,0.256590406,-8.671646437
75% Corpus,14,0.91,0.01,0.265551053,-12.15554814
75% Corpus,14,0.91,0.31,0.344153556,-8.361266317
75% Corpus,14,0.91,0.61,0.414818259,-8.408240311
75% Corpus,14,0.91,0.91,0.425267598,-8.460661524
75% Corpus,14,0.91,symmetric,0.25915757,-8.68826039
75% Corpus,14,symmetric,0.01,0.265177119,-12.33263259
75% Corpus,14,symmetric,0.31,0.357402431,-8.240674354
75% Corpus,14,symmetric,0.61,0.430756085,-8.307049096
75% Corpus,14,symmetric,0.91,0.456592806,-8.330919396
75% Corpus,14,symmetric,symmetric,0.255460726,-8.616950264
75% Corpus,14,asymmetric,0.01,0.266653251,-11.44618111
75% Corpus,14,asymmetric,0.31,0.348033443,-8.254403647
75% Corpus,14,asymmetric,0.61,0.396880127,-8.283324931
75% Corpus,14,asymmetric,0.91,0.454492553,-8.300761942
75% Corpus,14,asymmetric,symmetric,0.268166891,-8.59886369
