Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.30949583758169,-8.95237575837308
75% Corpus,2,0.01,0.31,0.30949583758168997,-8.398962863772711
75% Corpus,2,0.01,0.61,0.31616689576904233,-8.426170271456334
75% Corpus,2,0.01,0.9099999999999999,0.3201962538435189,-8.464555455640584
75% Corpus,2,0.01,symmetric,0.30949583758168997,-8.411311687417257
75% Corpus,2,0.31,0.01,0.30949583758169,-8.964443728463241
75% Corpus,2,0.31,0.31,0.30949583758168997,-8.408723644004088
75% Corpus,2,0.31,0.61,0.30949583758168997,-8.434554627735489
75% Corpus,2,0.31,0.9099999999999999,0.3201962538435189,-8.469918798866779
75% Corpus,2,0.31,symmetric,0.30949583758168997,-8.420633953136328
75% Corpus,2,0.61,0.01,0.30949583758169,-8.973725399332338
75% Corpus,2,0.61,0.31,0.30949583758168997,-8.414224446758084
75% Corpus,2,0.61,0.61,0.30949583758168997,-8.439885010255612
75% Corpus,2,0.61,0.9099999999999999,0.3201962538435189,-8.476946032849845
75% Corpus,2,0.61,symmetric,0.30949583758168997,-8.427398961459527
75% Corpus,2,0.9099999999999999,0.01,0.30949583758169,-8.98146992972029
75% Corpus,2,0.9099999999999999,0.31,0.30949583758168997,-8.418106952710104
75% Corpus,2,0.9099999999999999,0.61,0.30949583758168997,-8.44325966811637
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.322845481574771,-8.4803613101921
75% Corpus,2,0.9099999999999999,symmetric,0.30949583758168997,-8.430501173025199
75% Corpus,2,symmetric,0.01,0.30949583758169,-8.970579215918526
75% Corpus,2,symmetric,0.31,0.30949583758168997,-8.412632032602595
75% Corpus,2,symmetric,0.61,0.30949583758168997,-8.43840150986882
75% Corpus,2,symmetric,0.9099999999999999,0.3201962538435189,-8.475457903946515
75% Corpus,2,symmetric,symmetric,0.30949583758168997,-8.425728419426038
75% Corpus,2,asymmetric,0.01,0.3094958375816901,-8.968529595821053
75% Corpus,2,asymmetric,0.31,0.32288498373651686,-8.411807947803204
75% Corpus,2,asymmetric,0.61,0.31874896254638124,-8.426313177076054
75% Corpus,2,asymmetric,0.9099999999999999,0.29584578427670793,-8.437192179704684
75% Corpus,2,asymmetric,symmetric,0.3202358328746078,-8.419960153783187
75% Corpus,3,0.01,0.01,0.30698595222195285,-9.023216159671048
75% Corpus,3,0.01,0.31,0.2991026722251819,-8.42664968612183
75% Corpus,3,0.01,0.61,0.2954252205069426,-8.453249648477108
75% Corpus,3,0.01,0.9099999999999999,0.2806526682601734,-8.449080504787288
75% Corpus,3,0.01,symmetric,0.2991026722251819,-8.427434563529022
75% Corpus,3,0.31,0.01,0.30877941229367317,-9.047576001935067
75% Corpus,3,0.31,0.31,0.29648723751261136,-8.441667354967544
75% Corpus,3,0.31,0.61,0.2940826114583806,-8.461730810524845
75% Corpus,3,0.31,0.9099999999999999,0.2806526682601734,-8.457544163153129
75% Corpus,3,0.31,symmetric,0.29648723751261136,-8.442709172899793
75% Corpus,3,0.61,0.01,0.306518751947684,-9.066338658875615
75% Corpus,3,0.61,0.31,0.2977492654452095,-8.452000722538212
75% Corpus,3,0.61,0.61,0.2940826114583806,-8.470442328902765
75% Corpus,3,0.61,0.9099999999999999,0.28204950946974633,-8.468583013474685
75% Corpus,3,0.61,symmetric,0.2963147223821478,-8.452854605392115
75% Corpus,3,0.9099999999999999,0.01,0.3137475656593935,-9.080774120169881
75% Corpus,3,0.9099999999999999,0.31,0.2979437502469269,-8.460554887262466
75% Corpus,3,0.9099999999999999,0.61,0.2924024190711899,-8.479107601865437
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.28368112425350384,-8.478301969553604
75% Corpus,3,0.9099999999999999,symmetric,0.29650844648095814,-8.460881442097573
75% Corpus,3,symmetric,0.01,0.30877941229367317,-9.049067039358599
75% Corpus,3,symmetric,0.31,0.29648723751261136,-8.442723059066621
75% Corpus,3,symmetric,0.61,0.2940826114583806,-8.462565805606571
75% Corpus,3,symmetric,0.9099999999999999,0.2806526682601734,-8.458429524909235
75% Corpus,3,symmetric,symmetric,0.29648723751261136,-8.443657505402777
75% Corpus,3,asymmetric,0.01,0.3100524851214069,-9.050998152935183
75% Corpus,3,asymmetric,0.31,0.29648723751261136,-8.444936262272561
75% Corpus,3,asymmetric,0.61,0.30268675897627695,-8.480032146598289
75% Corpus,3,asymmetric,0.9099999999999999,0.3011081977358698,-8.510505834036023
75% Corpus,3,asymmetric,symmetric,0.29648723751261136,-8.446164569606925
75% Corpus,4,0.01,0.01,0.30479039005481545,-9.075572948226334
75% Corpus,4,0.01,0.31,0.2982415910491576,-8.44756261125948
75% Corpus,4,0.01,0.61,0.35531787469002496,-8.458521967792402
75% Corpus,4,0.01,0.9099999999999999,0.390381216037355,-8.491719685412145
75% Corpus,4,0.01,symmetric,0.30772435482798066,-8.44606781612332
75% Corpus,4,0.31,0.01,0.3053957765020018,-9.111169711746026
75% Corpus,4,0.31,0.31,0.30195368625026786,-8.469938743546665
75% Corpus,4,0.31,0.61,0.3452307713092027,-8.478723394897939
75% Corpus,4,0.31,0.9099999999999999,0.3895135513110941,-8.504052768933656
75% Corpus,4,0.31,symmetric,0.3048948008025161,-8.471941622976937
75% Corpus,4,0.61,0.01,0.30733513215377706,-9.142707497999952
75% Corpus,4,0.61,0.31,0.29447282802616614,-8.487708610731731
75% Corpus,4,0.61,0.61,0.3593269043622458,-8.495265258591987
75% Corpus,4,0.61,0.9099999999999999,0.39176075471648486,-8.512407568934071
75% Corpus,4,0.61,symmetric,0.30141956423873206,-8.48920758052973
75% Corpus,4,0.9099999999999999,0.01,0.3018768218092116,-9.160067554621195
75% Corpus,4,0.9099999999999999,0.31,0.2999882037461696,-8.499584480738928
75% Corpus,4,0.9099999999999999,0.61,0.3525809664154598,-8.508227039904797
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3818577865100019,-8.521892698185386
75% Corpus,4,0.9099999999999999,symmetric,0.2978755299999322,-8.500816423102064
75% Corpus,4,symmetric,0.01,0.3053957765020018,-9.104913522183004
75% Corpus,4,symmetric,0.31,0.296885673394222,-8.465535397967532
75% Corpus,4,symmetric,0.61,0.3452307713092027,-8.4749214207673
75% Corpus,4,symmetric,0.9099999999999999,0.3895135513110941,-8.502542918023575
