"word1","word2","n"
"Vous","pouvez",2308515
"Cet","article",989657
"cet","article",800147
"Les","projets",645862
"pouvez","modifier",644632
"but","d",644474
"projets","ont",644022
"prendre","conseil",643324
"modifier","directement",643307
"directement","cet",643220
"forme","d''",637676
"d''","aide",618412
"page","d''",613039
"article","ne",606176
"ne","comporte",602734
"puis","sauvegarder",601880
"pouvez","saisir",599734
"tâches","suggérées",599496
"l''","article",454748
"vos","connaissances",394644
"partager","vos",393980
"pouvez","partager",393283
"Votre","aide",313158
"projets","correspondants",303366
"d''","autres",295048
"j''","ai",285951
"Cette","section",263727
"Comment","faire",262985
"insuffisamment","détaillée",259668
"s''","agit",170246
"l''","année",165731
"J''","ai",160426
"l''","histoire",147663
"Bibliothèque","nationale",139817
"l''","ensemble",134347
"Il","s''",125610
"l''","équipe",121592
"ébauche","concernant",114959
"d''","abord",106112
"l''","eau",101656
"l''","époque",101644
"l''","État",99583
"d''","eau",98879
"En","effet",98838
"d''","or",96844
"l''","armée",94740
"n''","ont",94437
"Guerre","mondiale",93774
"l''","ordre",92681
"l''","occasion",87493
"d''","ailleurs",87476
"l''","homme",84700
"totalité","issu",82171
"l''","Union",81846
"Cette","page",80263
"l''","objet",80200
"l''","aide",79768
"l''","école",79545
"ne","s''",78536
"Je","ne",77932
"d''","autorité",77330
"l''","origine",77125
"l''","université",76510
"d''","origine",75549
"d''","argent",75077
"Notices","d''",73253
"aux","États-Unis",72764
"ainsi","qu''",72521
"Il","n''",72341
"autorité","international",72261
"international","virtuel",72258
"Fichier","d",72234
"l''","Université",71175
"page","d",71055
"New","York",70869
"Je","suis",70654
"n''","ai",70283
"À","l''",69357
"c''","est-à-dire",68875
"International","Standard",68500
"Standard","Name",68408
"Name","Identifier",68407
"l''","âge",68224
"l''","entreprise",66105
"lors","d''",65158
"d''","information",64399
"l''","île",64281
"d''","après",63640
"l''","historique",63306
"nombre","d''",63278
"l''","église",62916
"l''","auteur",62410
"d''","Europe",62080
"Seconde","Guerre",60990
"d''","euros",59855
"l''","intérieur",58975
"n''","était",58669
"l''","environnement",58664
"d''","État",58583
"l''","air",57981
"millions","d''",57858
"Il","fut",57726
"homonymie","répertorie",57716
"afin","d''",57706
"d''","homonymie",57450
"Système","universitaire",57412
"dont","l''",56711
"agit","d''",56472
"licence","CC-BY-SA",56377
"l''","Europe",56185
"À","partir",55844
"l''","association",55784
"page","originale",55506
"pages","d''",55397
"anglais","intitulé",55362
"l''","utilisation",55137
"l''","espace",54723
"cours","d''",54622
"Consultez","l''",54404
"Il","ne",54090
"l''","art",53693
"Quelques","explications",53288
"c''","était",53077
"l''","École",51595
"contre","l''",51547
"vers","l''",50122
"l''","ancien",50059
"l''","album",50021
"l''","organisation",49567
"l''","ouest",49216
"l''","image",49206
"l''","Institut",48947
"quelque","chose",48602
"l''","action",48019
"Nous","avons",46882
"d''","entre",46631
