"word1","word2","n"
NA,NA,440
"ouais","ouais",285
"eh","eh",265
"nan","nan",192
"armes","égales",152
"hip","hop",141
"j'en","ai",130
"bisso","bisso",115
"hey","hey",109
"na","na",105
"laï","laï",104
"paroles","rédigées",104
"blah","blah",103
"aie","aie",102
"avé","avé",102
"rien","ne",101
"m'a","dit",100
"aïe","aïe",99
"cette","vie",97
"demain","demain",95
"bang","bang",90
"amigo","amigo",86
"bye","bye",85
"non","non",84
"ouh","ouh",84
"93","empire",81
"ah","ah",78
"personne","ne",74
"20","ans",73
"ne","suis",72
"80","zetrei",70
"va","aller",70
"wouoh","wouoh",68
"rap","genius",66
"empire","93",65
"ah","ouais",63
"hein","hein",60
"rapgenius","france",60
"hé","hé",59
"mi","amor",59
"ah","oui",58
"allez","allez",57
"bah","ouais",55
"bla","bla",55
"nos","vies",55
"j'me","sens",53
"no","no",53
"quelque","chose",53
"va","bien",53
"communauté","rapgenius",52
"deux","trois",52
"adios","adios",51
"ca","va",51
"yo","yo",51
"bad","boys",50
"big","up",50
"j'me","suis",50
"oui","oui",49
"be","be",48
"billets","billets",48
"j'me","dis",48
"s'en","bat",46
"han","han",45
"jeans","jeans",45
"ariva","ariva",44
"allô","allô",43
"ne","sais",43
"amor","mi",42
"bad","boy",42
"ha","ha",42
"n'suis","qu'un",42
"ne","peux",42
"bah","bah",41
"communauté","française",41
"j'm'en","bats",41
"ailleurs","ailleurs",40
"boom","boom",40
"fêter","fêter",40
"jump","up",40
"qu'un","africain",40
"tant","pis",40
"bendo","bendo",38
"bisso","na",38
"check","check",38
"gang","gang",38
"na","bisso",38
"skur","skur",38
"baby","baby",37
"ok","ok",37
"bébé","bois",36
"lui","lui",36
"rap","français",36
"ai","marre",35
"bling","bling",35
"bombes","paris",35
"deux","doigts",35
"360","degrés",34
"9","3",34
"bagarrer","bagarrer",34
"jusqu'au","bout",34
"92i","92i",33
"clap","clap",33
"number","one",33
"quatre","vingt",33
"bamboula","bamboula",32
"dead","dead",32
"ne","veux",32
"rien","n'est",32
"zéros","zéros",32
"d'la","bouteille",31
"dix","mille",31
"ptit","creux",31
"toute","l'année",31
"zin","zin",31
"baby","mama",30
"bien","sûr",30
"g","ouais",30
"hey","yo",30
"hum","hum",30
"j'en","connais",30
"ne","fais",30
"cliquez","cliquez",29
"j'te","jure",29
"o","ouais",29
"toc","toc",29
"ahou","ahou",28
"bella","bella",28
"dix","ans",28
"all","eyes",27
"aller","ca",27
"cette","putain",27
"géant","géant",27
"gros","bonnet",27
"j’en","ai",27
"meres","vos",27
"pa","pa",27
"première","classe",27
"qu'à","faire",27
"t'es","sorti",27
"vos","meres",27
"5","majeur",26
"ali","baba",26
"bad","buzz",26
"cagoule","t'es",26
"canon","quatre",26
"ciao","pantin",26
"classé","number",26
"coma","aquo",26
"coup","d'crosse",26
"è","coma",26
"eh","ouais",26
"galon","t'es",26
"grand","chose",26
"grosse","cagoule",26
"humain","humain",26
"in","the",26
"j'te","parle",26
"loin","d'être",26
"non","stop",26
"sera","jamais",26
"vingt","ze",26
"ze","trei",26
"africain","africain",25
"case","départ",25
"j'te","dis",25
"laisse","tomber",25
"life","life",25
"qu'on","ne",25
"toujours","toujours",25
"venu","braquer",25
"93","hardcore",24
"bende","mafia",24
"benz","benz",24
"besoin","d'un",24
"calmant","calmant",24
"d'en","bas",24
"gagner","rien",24
"hey","mama",24
"j'en","suis",24
"kailleras","park",24
"mama","hey",24
"my","life",24
"n'est","qu'une",24
"n’est","venu",24
"qualité","qualité",24
"reconnais","bien",24
"seule","chose",24
"veut","dire",24
"wo","yo",24
"2","3",23
"belle","vie",23
"danse","danse",23
"fonce","dé",23
"m'a","donné",23
"ne","vois",23
"ont","pris",23
"qu'il","ne",23
"s’en","fout",23
"t'es","qu'un",23
"tant","qu'on",23
"to","the",23
"va","faire",23
"3","coup",22
"45","45",22
