"word1","word2","n"
"hip","hop",60
"j'en","ai",55
"m'a","dit",51
"ah","oui",49
"blah","blah",45
"amigo","amigo",36
"ne","suis",34
"ptit","creux",31
"rien","ne",30
"ouais","ouais",29
"aïe","aïe",28
"personne","ne",28
"s'en","bat",27
"bad","buzz",26
"hum","hum",24
"bye","bye",23
"j'me","suis",23
"non","non",22
"nos","vies",22
"paroles","rédigées",22
"s’en","fout",21
"bang","bang",20
"c’est","oui",20
"rap","game",20
"in","the",19
"big","up",18
"360","degrés",17
"deux","doigts",17
"deux","trois",17
"hein","hein",17
"number","one",17
"cette","vie",16
"l'ome","l'ome",16
"plaît","ne",16
"quelque","chose",16
"ah","ouais",15
"baby","baby",15
"han","han",15
"j'me","sens",15
"nan","nan",15
"ne","sais",15
"rap","genius",15
"respect","forcer",15
"seule","chose",15
"the","air",15
"allez","allez",14
"aucune","solution",14
"disque","d'or",14
"ha","ha",14
"jusqu'au","bout",14
"loup","solitaire",14
"rap","français",14
"t'es","qu'un",14
"yah","yah",14
"ai","marre",13
"beat","beat",13
"classé","number",13
"cro","mi",13
"hé","hé",13
"l'monde","s'en",13
"meute","c’est",13
"ne","comprends",13
"ne","peux",13
"petit","martien",13
"rapgenius","france",13
"s’en","fiche",13
"venu","braquer",13
"amigo","hum",12
"baby","mama",12
"bah","ouais",12
"battez","battez",12
"boulaleuleu","boulaleuleu",12
"d’amis","amis",12
"flex","retro",12
"j'y","vais",12
"kailleras","park",12
"m'a","donné",12
"mode","flex",12
"n’est","venu",12
"ne","vois",12
"nice","retro",12
"solitaire","j’ai",12
"space","retro",12
"ah","ah",11
"bien","sûr",11
"cette","merde",11
"communauté","rapgenius",11
"don't","care",11
"j'm'en","bats",11
"l'au","delà",11
"ne","fais",11
"qu'il","ne",11
"s'en","fout",11
"vaut","mieux",11
"10","ans",10
"15","ans",10
"2","3",10
"20","ans",10
"40","ans",10
"ballon","d'or",10
"besoin","d'un",10
"cliquez","cliquez",10
"daddy","see",10
"deux","pieds",10
"dis","qu'tu",10
"dix","ans",10
"fonctions","vitales",10
"grand","chose",10
"ha","hun",10
"in","your",10
"j'me","dis",10
"loin","d'être",10
"molo","molo",10
"my","man",10
"nos","rêves",10
"ouais","c’est",10
"qu'il","n'y",10
"qu'on","ne",10
"to","the",10
"va","aller",10
"va","bien",10
"we","go",10
"wi","wi",10
"your","mummy",10
"4","2",9
"4","4",9
"camp","camp",9
"cette","putain",9
"creux","toujours",9
"dit","non",9
"hey","sexy",9
"it","is",9
"j","ai",9
"j'aimerais","bien",9
"j't'entends","parler",9
"jamais","rien",9
"jour","j",9
"l'autre","côté",9
"m'a","volé",9
"mc","circulaire",9
"merci","merci",9
"n'est","qu'un",9
"new","york",9
"noir","désir",9
"qu'on","va",9
"quoi","d’neuf",9
"rien","n'a",9
"s","o",9
"sexy","wow",9
"show","business",9
"sonne","90",9
"t","shirt",9
"t'en","as",9
"wadadadem","wadadadomdem",9
"week","end",9
"24","carat",8
"9","2",8
"92014","raisons",8
"ai","dit",8
"aprés","l'espoir",8
"because","to",8
"call","my",8
"caméra","d'booska",8
"cliquez","dansez",8
"cœur","danse",8
"communauté","française",8
"d'alfred","hitchcock",8
"d'booska","p",8
"degrés","360",8
"disappear","so",8
"disent","rien",8
"face","aux",8
"fais","gaffe",8
"fight","them",8
"film","d'alfred",8
"game","over",8
"here","we",8
"hey","hey",8
"hey","yo",8
"illness","it",8
"j'aurais","pu",8
"j'en","suis",8
"j'te","jure",8
"jusqu'a","l'aube",8
"kacem","wapalek",8
"kind","of",8
"l'ome","l'omelette",8
