"","songs","counts"
"1","AKETO1","1"
"2","AKETO13","1"
"3","AKHENATON5","1"
"4","AKHENATON6","1"
"5","AKHENATON7","1"
"6","AKHENATON11","2"
"7","AKHENATON13","6"
"8","L’ALGÉRINO15","2"
"9","L’ALGÉRINO16","1"
"10","ALI_(FRA)11","0"
"11","ALI_(FRA)13","0"
"12","ALKPOTE4","1"
"13","ALKPOTE5","1"
"14","ABD_AL_MALIK14","1"
"15","ABD_AL_MALIK17","4"
"16","ABD_AL_MALIK19","1"
"17","ALONZO1","1"
"18","ALONZO6","1"
"19","ALONZO7","1"
"20","ALPHA_5.201","1"
"21","ATEYABA5","2"
"22","ATEYABA6","1"
"23","ATIM2","1"
"24","PIT_BACCARDI6","7"
"25","PIT_BACCARDI7","1"
"26","PIT_BACCARDI11","1"
"27","GÉRARD_BASTE1","2"
"28","GÉRARD_BASTE14","1"
"29","GÉRARD_BASTE16","1"
"30","GÉRARD_BASTE20","1"
"31","BEN-J_(FRA)11","0"
"32","BEN-J_(FRA)13","0"
"33","BENASH3","1"
"34","BIG_RED13","2"
"35","BLACK_KENT1","4"
"36","BLACK_KENT4","1"
"37","BLACK_KENT7","1"
"38","BLACK_KENT8","2"
"39","BLACK_KENT10","3"
"40","BLACK_KENT11","1"
"41","BLACK_KENT14","1"
"42","BLACK_KENT19","1"
"43","BLACK_M1","4"
"44","BLACK_M2","2"
"45","BLACK_M10","2"
"46","BLACK_M19","2"
"47","BLACKO_(FRA)10","0"
"48","BOOBA2","2"
"49","BOOBA3","1"
"50","BOOBA5","1"
"51","BOOBA7","1"
"52","BOOBA13","1"
"53","BOOBA16","2"
"54","BOOSTEE11","1"
"55","BOOSTEE20","2"
"56","BOSH2","4"
"57","BOSH5","1"
"58","BOSH13","2"
"59","BOUGA5","1"
"60","BOUGA10","8"
"61","BRASCO1","2"
"62","BRASCO10","1"
"63","BRASCO13","3"
"64","LUCIO_BUKOWSKI_&_ANTON_SERRA1","1"
"65","LUCIO_BUKOWSKI_&_ANTON_SERRA3","1"
"66","LUCIO_BUKOWSKI_&_ANTON_SERRA8","3"
"67","LUCIO_BUKOWSKI_&_ANTON_SERRA9","4"
"68","DEEN_BURBIGO14","1"
"69","DEEN_BURBIGO17","1"
"70","BUSTA_FLEX3","2"
"71","BUSTA_FLEX6","1"
"72","BUSTA_FLEX9","1"
"73","BUSTA_FLEX12","1"
"74","CALBO6","2"
"75","CANARDO17","1"
"76","NICK_CONRAD4","4"
"77","NICK_CONRAD7","2"
"78","NICK_CONRAD8","2"
"79","NICK_CONRAD14","1"
"80","BAMBI_CRUZ11","1"
"81","BAMBI_CRUZ12","3"
"82","BAMBI_CRUZ13","1"
"83","CUIZINIER4","1"
"84","CUIZINIER8","1"
"85","CYANURE_(ATK)4","0"
"86","CYANURE_(ATK)8","0"
"87","CYANURE_(ATK)9","0"
"88","CYANURE_(ATK)11","0"
"89","CYANURE_(ATK)17","0"
"90","D’_DE_KABAL1","2"
"91","D’_DE_KABAL2","8"
"92","D’_DE_KABAL3","1"
"93","D’_DE_KABAL5","2"
"94","D’_DE_KABAL6","8"
"95","D’_DE_KABAL7","6"
"96","D’_DE_KABAL9","2"
"97","D’_DE_KABAL13","1"
"98","D’_DE_KABAL16","2"
"99","LIONEL_D1","4"
"100","LIONEL_D3","1"
"101","​DA_UZI5","2"
"102","​DA_UZI9","2"
"103","DADOO1","2"
"104","DADOO2","3"
"105","DADOO8","1"
"106","DADOO9","1"
"107","DADOO12","1"
"108","DAKEEZ2","2"
"109","HAMED_DÄYE4","2"
"110","HAMED_DÄYE7","1"
"111","HAMED_DÄYE8","1"
"112","DEF_BOND12","1"
"113","DEF_BOND16","1"
"114","DEF_BOND19","8"
"115","JAMES_DELLECK3","2"
"116","JAMES_DELLECK6","1"
"117","JAMES_DELLECK19","1"
"118","DEMI_PORTION2","5"
"119","DEMI_PORTION7","1"
"120","DEMI_PORTION10","2"
"121","DEMI_PORTION13","2"
"122","DEMI_PORTION16","1"
"123","DEMI_PORTION17","1"
"124","DEMON_ONE1","2"
"125","DIAMOND_DEUKLO11","1"
"126","DINOS3","2"
"127","DINOS7","1"
"128","DINOS18","1"
"129","DISIZ_LA_PESTE4","3"
"130","DISIZ_LA_PESTE9","2"
"131","DISIZ_LA_PESTE13","1"
"132","DISIZ_LA_PESTE17","2"
"133","DJAMATIK3","1"
"134","DOC_GYNÉCO4","2"
"135","DOC_GYNÉCO7","1"
"136","DON_CHOA9","2"
"137","DON_CHOA14","1"
"138","JR_O_CROM_&_DOOMAMS4","2"
"139","DOSSEH2","3"
"140","DOSSEH15","1"
"141","DRIVER4","2"
"142","DRIVER19","2"
"143","EJM_(RAPPEUR)1","0"
"144","EKLIPS7","1"
"145","EKLIPS9","1"
"146","EKOUÉ3","7"
"147","EKOUÉ6","1"
"148","EKOUÉ14","2"
"149","EKOUÉ17","1"
"150","FABABY13","3"
"151","FABABY14","2"
"152","FABABY16","1"
"153","FABE2","4"
"154","FABE6","1"
"155","FABE7","1"
"156","FABE9","3"
"157","FABE18","1"
"158","FABE19","1"
"159","FAF_LARAGE11","2"
"160","GAËL_FAYE2","3"
"161","GAËL_FAYE4","3"
"162","GAËL_FAYE17","5"
"163","GAËL_FAYE20","2"
"164","FISTO2","8"
"165","FISTO3","1"
"166","FISTO10","1"
"167","FISTO11","5"
"168","FISTO14","1"
"169","FISTO15","1"
"170","FISTO19","1"
"171","FLYNT2","2"
"172","FLYNT13","3"
"173","FLYNT18","1"
"174","FLYNT20","5"
"175","LA_FOUINE3","2"
"176","LA_FOUINE9","2"
"177","LA_FOUINE15","1"
"178","FRANGLISH19","1"
"179","FREEMAN_(FRA)12","0"
"180","FREEZE_CORLEONE3","1"
"181","FREEZE_CORLEONE5","1"
"182","FREEZE_CORLEONE9","2"
"183","FREEZE_CORLEONE11","2"
"184","SEB4","1"
"185","SEB12","1"
"186","SEB13","1"
"187","FURAX2","6"
"188","FURAX5","1"
"189","FURAX10","1"
"190","FURAX12","4"
"191","ORGASMIC_&_FUZATI1","1"
"192","ORGASMIC_&_FUZATI3","1"
"193","ORGASMIC_&_FUZATI8","1"
"194","ORGASMIC_&_FUZATI9","1"
"195","GAMBI19","1"
"196","GEORGIO1","3"
"197","GEORGIO5","3"
"198","GRADUR11","2"
"199","GRADUR13","1"
"200","GRAND_CORPS_MALADE4","1"
"201","GRAND_CORPS_MALADE6","1"
"202","CHARLY_GREANE5","2"
"203","GREMS1","2"
"204","GREMS5","1"
"205","GREMS7","1"
"206","GREMS9","1"
"207","GREMS12","1"
"208","GRINGE6","2"
"209","GRINGE10","1"
"210","GRINGE15","2"
"211","GRINGE18","1"
"212","SETH_GUEKO1","3"
"213","SETH_GUEKO7","2"
"214","SETH_GUEKO13","4"
"215","GUIZMO5","3"
"216","GUIZMO15","1"
"217","GUTS14","1"
"218","GUTS18","3"
"219","HAYCE_LEMSI2","2"
"220","HAYCE_LEMSI7","1"
"221","HAYCE_LEMSI8","1"
"222","HAYCE_LEMSI9","2"
"223","HAYCE_LEMSI11","1"
"224","HAYCE_LEMSI12","1"
"225","HAYCE_LEMSI18","2"
"226","HAYCE_LEMSI20","1"
"227","HEUSS_L’ENFOIRÉ19","3"
"228","HIPPOCAMPE_FOU1","2"
"229","HIPPOCAMPE_FOU6","1"
"230","HIPPOCAMPE_FOU9","1"
"231","HIPPOCAMPE_FOU16","2"
"232","HIPPOCAMPE_FOU20","2"
"233","HORNET_LA_FRAPPE4","1"
"234","HORNET_LA_FRAPPE16","8"
"235","HUGO_TSR1","2"
"236","HUGO_TSR3","5"
"237","HUGO_TSR4","6"
"238","HUGO_TSR10","4"
"239","HUGO_TSR14","1"
"240","HUGO_TSR17","1"
"241","HUGO_TSR20","4"
"242","HYACINTHE4","1"
"243","HYACINTHE11","2"
"244","KERY_JAMES2","2"
"245","KERY_JAMES3","3"
"246","JAZZY_BAZZ1","1"
"247","JAZZY_BAZZ17","1"
"248","JAZZY_BAZZ19","1"
"249","JOEY_STARR9","1"
"250","SLY_JOHNSON8","1"
"251","SLY_JOHNSON12","1"
"252","JORRDEE12","5"
"253","JOSMAN3","1"
"254","JOSMAN10","1"
"255","JOSMAN18","2"
"256","JP_MANOVA18","1"
"257","JUL7","1"
"258","JUL11","1"
"259","JUL16","1"
"260","KACEM_WAPALEK2","1"
"261","KACEM_WAPALEK5","1"
"262","KACEM_WAPALEK14","2"
"263","KALASH7","1"
"264","KALASH8","1"
"265","KALASH9","1"
"266","KALASH_CRIMINEL14","5"
"267","KALASH_CRIMINEL18","1"
"268","KALASH_L’AFRO2","1"
"269","KAMELANCIEN7","4"
"270","KAMELANCIEN13","3"
"271","KAMELANCIEN15","2"
"272","KAMINI4","5"
"273","KARLITO8","1"
"274","KARLITO9","1"
"275","KARLITO19","1"
"276","KEBLACK13","6"
"277","KEBLACK19","1"
"278","KEKRA2","1"
"279","KEKRA15","2"
"280","KEKRA17","6"
"281","KOBA_LAD1","2"
"282","KOBA_LAD3","1"
"283","KOBA_LAD10","1"
"284","KOHNDO1","1"
"285","KOMA_(FRA)4","0"
"286","KOMA_(FRA)5","0"
"287","KOMA_(FRA)7","0"
"288","KOMA_(FRA)10","0"
"289","KOOL_SHEN16","1"
"290","LORD_KOSSITY2","2"
"291","LORD_KOSSITY14","1"
"292","LORD_KOSSITY16","3"
"293","LORD_KOSSITY20","8"
"294","LACRIM1","1"
"295","LACRIM6","2"
"296","LACRIM14","1"
"297","LARRY6","2"
"298","LARRY9","2"
"299","LARRY17","1"
"300","LARRY18","1"
"301","LECK7","4"
"302","LECK9","4"
"303","LECK10","2"
"304","LEEROY9","4"
"305","LEFA10","6"
"306","FURAX_&_JEFF_LE_NERF6","3"
