,key,freq,freq_pct
342,game,124,0.018583377
639,micro,70,0.010490616
712,buzz,64,0.00959142
739,dj,62,0.009291689
791,disque,58,0.008692225
820,film,57,0.008542359
863,net,54,0.008092761
876,télé,53,0.007942895
999,clique,47,0.007043699
1182,livre,40,0.005994638
1359,films,35,0.005245308
1376,message,34,0.005095442
1441,like,33,0.004945576
1559,follow,30,0.004495978
1564,code,30,0.004495978
1640,microphone,28,0.004196246
1662,cliquez,28,0.004196246
1780,téléphone,26,0.003896515
1956,disques,24,0.003596783
2183,internet,21,0.003147185
2196,photos,21,0.003147185
2235,cd,20,0.002997319
2253,phone,20,0.002997319
2288,clips,20,0.002997319
2407,livres,19,0.002847453
2451,caméra,19,0.002847453
2499,messages,18,0.002697587
2635,réseau,17,0.002547721
2647,pub,17,0.002547721
2784,vidéo,16,0.002397855
2797,écran,16,0.002397855
2973,réseaux,15,0.002247989
3113,médias,14,0.002098123
3117,photo,14,0.002098123
3124,call,14,0.002098123
3226,connexion,14,0.002098123
3228,cro-mi,14,0.002098123
3337,codes,13,0.001948257
3419,portable,13,0.001948257
3869,skyrock,11,0.001648525
3939,iphone,11,0.001648525
4170,infos,10,0.001498659
4530,électrique,9,0.001348794
4741,programme,9,0.001348794
4788,sonner,9,0.001348794
4839,facebook,9,0.001348794
4910,console,9,0.001348794
5160,bug,8,0.001198928
5284,disquettes,8,0.001198928
5545,texto,8,0.001198928
5640,vinyle,7,0.001049062
5917,magazine,7,0.001049062
6349,fm,6,0.000899196
6467,cliques,6,0.000899196
6508,buzzer,6,0.000899196
6664,électriques,6,0.000899196
6871,enregistre,6,0.000899196
6877,info,6,0.000899196
7280,caméras,5,0.00074933
7334,micros,5,0.00074933
7487,cam,5,0.00074933
7499,magazines,5,0.00074933
7703,mp3,5,0.00074933
7742,électricité,5,0.00074933
7849,téléphoner,5,0.00074933
7966,journaux,5,0.00074933
8129,site,5,0.00074933
8798,télévision,4,0.000599464
8958,électronique,4,0.000599464
9051,playstation,4,0.000599464
9384,pirate,4,0.000599464
9518,enregistrer,4,0.000599464
9940,disquette,4,0.000599464
10068,télés,4,0.000599464
10537,ipod,3,0.000449598
10538,3g,3,0.000449598
10765,pirates,3,0.000449598
10857,dm,3,0.000449598
10968,sms,3,0.000449598
11576,ordinateur,3,0.000449598
11707,information,3,0.000449598
11832,itunes,3,0.000449598
11847,électro,3,0.000449598
11848,sony,3,0.000449598
